team,total3s,win%
Warriors,651,0.231
Cavaliers,727,0.292
Timberwolves,853,0.297
Hawks,805,0.299
Pistons,791,0.303
Knicks,631,0.318
Bulls,793,0.338
Wizards,859,0.347
Hornets,785,0.354
Pelicans,980,0.417
Kings,914,0.431
Spurs,760,0.451
Magic,807,0.452
Grizzlies,796,0.466
Suns,816,0.466
Trail Blazers,952,0.473
Nets,936,0.486
Mavericks,1136,0.573
76ers,848,0.589
Heat,979,0.603
Thunder,770,0.611
Rockets,1126,0.611
Jazz,963,0.611
Pacers,743,0.616
Nuggets,801,0.63
Celtics,905,0.667
Clippers,895,0.681
Lakers,781,0.732
Raptors,995,0.736
Bucks,1007,0.767

